room_type,accommodates,neighbourhood_cleansed,bedrooms,beds,price
Entire home/apt,5.0,Barra da Tijuca,2.0,4.0,390.0
Entire home/apt,5.0,Taquara,2.0,3.0,280.0
Private room,2.0,Humaitá,1.0,1.0,200.0
Entire home/apt,2.0,Ipanema,1.0,1.0,396.0
Entire home/apt,2.0,Barra da Tijuca,1.0,2.0,401.0
Entire home/apt,10.0,Copacabana,3.0,3.0,908.0
Entire home/apt,4.0,Copacabana,1.0,1.0,369.0
Entire home/apt,3.0,Copacabana,1.0,1.0,307.0
Private room,2.0,Tijuca,1.0,2.0,300.0
Entire home/apt,4.0,Santa Teresa,2.0,2.0,247.0
Private room,2.0,Copacabana,1.0,1.0,2187.0
Entire home/apt,5.0,Barra da Tijuca,2.0,3.0,786.0
Entire home/apt,5.0,Recreio dos Bandeirantes,2.0,2.0,443.0
Entire home/apt,6.0,Leblon,3.0,4.0,1718.0
Entire home/apt,2.0,Copacabana,1.0,2.0,533.0
